LIMIT_BAL,AGE,INCOME,UTILIZATION,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,risk_level
74300,39,70776,0.04,8,-2,0,-2,1,-1,379073,322081,237570,339612,18405,86966,185232,18103,7670,33520,173776,70992,2
517281,20,131429,0.16,7,8,0,8,1,5,80156,53909,195983,406509,181382,198683,199959,126986,50666,42458,52954,6049,2
657086,52,83696,0.99,7,1,8,3,6,2,2577,439173,193444,76400,246844,20504,147125,87989,194802,64533,39827,63237,2
583556,33,174253,0.16,-2,2,5,7,0,-2,350948,127812,13606,257268,209151,92289,29412,31449,99688,61223,48482,112206,0
398951,59,149443,0.21,1,5,-2,5,7,8,380327,296228,432184,145338,353999,133755,57969,125652,152619,185049,147689,109939,1
324329,42,74435,0.8,0,5,4,1,-2,1,401052,35184,235183,348385,186672,252677,125268,64974,90977,144245,81920,79217,2
769064,34,57020,0.39,0,3,8,2,2,-1,429816,144975,348505,72845,345437,76739,67387,105847,122175,116573,44218,191823,1
792139,56,51119,0.12,8,4,1,8,0,1,411951,85958,419529,396833,360664,35705,136616,39102,93380,145446,112570,21374,2
482315,30,113764,0.13,-2,-2,1,-1,5,-2,399270,177831,11025,194404,419818,231404,195073,141476,92736,9410,60781,114665,0
976075,45,82653,0.08,0,5,6,-2,-2,8,383459,476695,2642,258298,91753,10311,150995,85024,153485,53262,123912,162761,0
566588,28,180446,0.18,7,3,2,0,5,5,446955,21514,143280,151437,443439,29286,174022,155019,48747,159196,170214,84033,2
286584,27,143718,0.5,8,-2,8,3,0,3,8040,453053,142933,216214,321701,234829,160743,66312,92202,10315,122255,96480,1
612332,56,47839,0.02,7,7,2,-1,0,-1,254827,79502,426886,234861,120607,352158,5707,85135,17081,13763,208,113464,2
887646,41,86887,0.12,5,2,-2,6,5,3,450470,266429,311718,299848,279632,471777,38342,125224,153461,197526,169738,78384,2
426896,55,158536,0.91,1,6,5,4,8,6,57961,202890,62961,353069,141284,377514,171162,171636,127588,13324,58538,21149,2
98984,41,146778,0.88,4,-2,3,6,1,-2,468843,9724,284821,485631,305217,40638,144821,21059,125510,44825,118569,12243,2
352918,50,30660,0.83,-1,7,-1,3,1,0,364721,205946,132555,74344,397405,349351,19278,140587,129427,191592,24202,10747,2
314712,34,77323,0.71,4,0,2,7,5,6,163216,157583,289000,160807,54308,243738,182374,166465,174014,17131,28958,160019,2
170151,61,148870,0.66,3,3,2,3,8,8,493821,91865,328954,148083,316976,114713,28784,92175,123040,27240,77483,18257,1
505808,53,171825,0.28,5,-1,7,0,7,8,167872,371597,452862,287908,156724,270461,197663,105031,152918,134960,39864,2226,2
183767,52,56113,0.33,5,7,2,3,-1,2,226332,491389,21541,108359,325472,48486,46784,116878,18044,162083,40793,178787,1
698663,23,195253,0.24,5,7,2,-2,0,1,9378,159364,20127,72459,162700,298557,131055,27876,144749,87408,110305,117024,2
753550,33,175794,0.98,7,2,0,3,5,0,19366,54750,271010,394782,208372,432225,198810,79556,95451,45838,70133,165797,2
186330,62,101991,0.63,1,6,0,-2,8,5,356267,133150,103700,187585,264283,381051,107558,153258,135980,71940,111503,180821,1
530754,45,83847,0.97,6,2,2,6,0,-2,127430,310191,254404,135612,293447,164108,95645,18609,142711,77028,114978,61269,2
351648,58,175434,0.27,5,0,7,-1,1,3,186478,365213,4588,176299,363762,307112,193317,150462,79492,43670,164163,45076,2
738519,49,66026,0.62,1,2,2,-2,7,8,198336,341542,22385,405561,328798,234624,147589,38599,123526,62817,180610,179284,1
63986,43,193273,0.76,-1,3,4,3,4,8,235588,181779,70249,19519,145387,48444,90217,13737,164164,115360,63501,106777,2
636146,28,144349,0.09,-2,6,7,3,7,-1,261188,467444,138914,336172,33770,155149,190785,199649,108170,73780,25440,175131,0
179312,69,63974,0.67,-1,3,0,6,5,8,159225,238613,370877,101264,181525,232526,194248,123375,103446,140326,111259,140463,1
62666,42,158989,0.17,2,-1,7,6,6,1,142406,404153,280830,404500,68233,9901,144670,46702,91473,113121,103901,192525,1
350804,48,187649,0.33,8,2,-2,6,-1,7,147717,283598,202514,142246,366176,22175,115912,49185,59031,108478,23443,41947,1
184633,38,32955,0.72,2,6,2,-1,-1,8,378965,426851,255196,294211,319623,441919,39113,21223,166221,193282,184527,55337,2
338998,62,110847,0.44,7,7,2,0,7,5,238610,429286,283598,304940,227734,247844,91376,115120,120039,50222,2794,82380,1
900937,68,99357,0.92,-1,8,-2,7,7,0,69896,147530,295163,37605,119213,255493,133311,99416,13120,9914,158692,62710,2
678776,20,169987,0.24,1,8,1,-2,-2,1,74737,252290,46792,300385,385395,297955,189874,97231,112767,144762,72260,194596,1
757611,29,76799,0.15,5,-2,4,6,-1,7,230507,465195,4716,324954,40614,422774,95140,72691,108468,179299,48806,50850,2
334806,68,130269,0.34,-2,5,7,2,5,3,32138,215397,165853,73428,14080,20200,29951,153162,169870,128214,5643,7549,1
844824,57,131942,0.85,-1,2,3,-1,8,4,194580,324635,207949,405841,243886,362295,137034,117018,167792,143057,98742,88195,2
80535,63,113904,0.85,-1,4,1,2,-2,-1,352319,202038,3231,226592,350441,236438,189373,190011,51657,58932,100309,197486,2
425713,58,154778,0.37,2,8,-2,1,1,0,377146,208311,244618,151336,376770,401037,181468,45760,132050,58704,126388,68456,1
888688,42,78409,0.81,-1,1,2,3,8,3,238680,287506,353670,102034,89351,171826,40663,119075,100307,195504,192717,106649,2
401279,34,32193,0.08,5,1,6,2,7,3,394714,356590,153814,19196,6381,225022,16694,11743,172364,122226,184212,94448,2
963910,55,145413,0.01,0,5,6,2,-1,6,56362,25133,166242,202210,409055,352763,177228,191573,67032,23144,15291,101642,0
871654,53,143973,0.86,0,6,3,5,5,-2,36401,147914,241200,420445,45547,176435,40213,102213,43166,46271,30963,76408,2
651661,53,115789,0.87,5,7,-2,1,-1,3,58039,5271,310403,105823,230356,81909,50741,92161,111225,167074,94068,20514,2
697972,36,98366,0.14,-2,-2,3,-2,3,7,493441,7567,130435,164639,37496,315632,2242,81702,156562,168205,10488,158058,0
539570,61,162924,0.3,1,3,5,-1,8,6,260400,428962,402981,456365,261859,225003,111137,45,191845,56452,5699,168203,1
506551,19,32013,0.85,4,-1,2,0,-2,7,209461,212254,473920,3934,199805,328518,185137,5927,158153,146197,70923,93948,2
323109,34,152610,0.08,2,7,5,7,2,7,314278,100729,181725,434695,336632,220756,160216,32866,167529,182333,147680,125957,1
74538,47,113417,0.86,0,0,5,5,3,-1,460808,88274,107927,126261,173722,353968,113089,199445,197751,29242,73753,199042,2
944498,64,65377,0.57,5,6,0,7,8,4,419368,178671,83267,418198,97657,17547,154060,199234,157968,30785,129422,18909,1
251664,27,144486,0.66,2,4,7,6,2,1,138523,33320,347907,289532,300173,308098,20991,112861,131101,112638,58629,126813,1
541234,52,62645,0.59,3,0,0,0,1,4,335894,301188,5369,138484,232684,455499,87184,98040,21873,164542,106139,70653,1
949684,69,167939,0.58,-2,7,-2,6,-1,-2,282341,224715,21411,492401,446033,267398,131306,85718,164783,108295,35220,41946,1
189182,53,93070,0.19,0,8,-1,0,2,1,239751,339168,36158,155631,365652,149784,157493,169223,46933,74298,141952,18642,0
522525,50,98536,0.24,7,2,4,2,-2,-1,147688,300682,399381,464072,365187,336851,160374,11350,196823,87065,32490,153111,2
208338,18,51085,0.58,1,3,4,0,-2,-2,331896,404638,26841,155762,186912,321139,116096,12579,171803,28477,165711,13477,1
234064,35,104271,0.4,7,3,7,7,2,7,388425,401217,388928,407295,477850,423779,111540,121159,133454,7726,47638,74664,1
264020,21,104500,0.54,7,6,4,1,4,3,296540,396217,445329,37790,370054,326124,94831,26196,181725,10880,16527,145354,1
673094,64,136104,0.25,1,-2,7,1,-1,7,494792,86659,391423,88975,353510,301454,100562,23791,83249,60616,112289,114505,1
974414,44,68792,0.46,2,-1,5,7,8,7,143193,310925,374013,337105,496928,425129,68226,186171,184946,158212,102250,194579,1
947421,42,20733,0.14,6,8,-2,8,-2,8,394994,67602,298154,149679,351484,328534,28912,12818,165783,158768,43049,60320,2
665270,45,143276,0.04,1,4,6,4,4,6,155484,413695,467411,469170,401310,41793,43128,2211,25704,22173,38533,62361,1
695914,39,135306,0.95,4,8,-1,2,0,2,151451,362859,490602,197441,120990,177559,178724,155250,110804,142944,31815,18668,2
169176,59,101733,0.72,5,1,5,1,3,8,80340,328060,107394,26923,127673,374600,60004,113734,144521,85655,198787,194183,2
967710,42,93601,0.5,4,3,3,3,-1,8,323825,305262,102370,66354,166271,403000,147112,63302,64516,115711,138522,160749,1
268126,34,140948,0.55,-1,6,5,7,8,0,165535,350104,256984,101578,200425,147531,13605,135215,159067,158045,79436,65549,1
268969,61,181377,0.51,-2,6,5,8,3,-1,288498,274656,235317,68145,29394,136539,124719,197348,178672,134777,26044,64244,1
172409,69,62318,0.9,2,1,2,0,-1,3,84723,119760,63686,196517,140702,412100,152427,84716,23447,113223,53366,148283,2
597707,29,100094,0.77,5,4,4,4,-1,1,200446,275887,488643,404736,271948,286218,163864,71147,95807,67932,146403,12801,2
303618,33,99142,0.33,-2,0,-2,2,1,7,387482,86658,63110,142488,283077,366595,120109,135298,58680,183527,114273,21294,1
819598,54,121325,0.22,-1,0,7,0,5,7,27989,273732,238865,32210,317339,188593,52028,64866,65470,140258,107090,185741,0
100015,33,80587,0.07,6,1,6,0,0,-1,80178,111341,95859,242328,135293,174534,24941,73714,101950,156950,110798,26843,2
822838,34,94835,0.15,3,2,1,0,0,-1,255776,144476,52540,163982,213228,279991,40389,77934,40566,122756,171607,112068,2
172096,48,107334,0.49,-2,6,4,1,8,-2,95368,430257,267201,19956,57866,439335,92108,103454,147712,83006,75402,57090,1
681347,32,101984,0.2,5,-1,8,4,4,5,322251,415715,229105,159250,266673,360274,135558,113660,33671,62935,132830,151120,2
235340,30,134383,0.31,0,-2,5,-2,6,-1,201465,255104,336578,302947,170389,46791,183940,94896,120092,185329,165689,132904,1
160687,57,26300,0.13,1,8,-1,2,6,6,303689,412526,467587,250497,457921,491469,176332,177824,173746,61578,54558,183033,1
924371,44,134871,0.92,7,-2,2,4,2,1,118880,171789,450012,452497,243627,234507,96059,47541,108714,182519,175506,184702,2
461357,38,174205,0.03,2,-2,6,1,7,0,169122,231678,346471,349091,250085,237416,114111,71658,157940,180355,96943,107051,1
785716,19,31059,0.35,6,6,-1,7,-2,7,214323,236320,472827,82065,407639,224837,99422,82634,121797,15534,49903,185276,1
155878,25,77166,0.26,2,4,0,-1,6,8,424853,190288,4544,479186,334114,137828,145003,101382,176562,63063,165959,157168,1
777270,59,28720,0.01,3,-1,6,8,2,8,339740,441316,427817,27315,22918,330498,26879,88123,155996,170981,132474,147075,2
248286,24,73230,0.93,4,3,-1,5,7,6,406932,185290,388383,203164,64275,356948,135701,87781,9995,30941,10127,19720,2
823290,27,140077,0.31,2,3,-1,-2,3,5,443027,354531,224264,499751,406323,116050,15465,92410,135974,84231,132803,77874,1
824684,21,166466,0.5,2,1,7,3,1,7,9277,21476,477755,66068,460385,490978,58102,172676,167754,14135,131469,88485,1
214899,60,15635,0.58,-1,-2,2,3,1,8,59118,191258,29141,353295,310818,223857,129776,183428,150971,150768,157756,192087,1
374767,58,91742,0.61,-1,2,5,1,4,-2,237525,361586,79205,15226,419966,487366,48990,52861,61349,195231,94898,77360,1
911882,53,79197,0.46,3,5,3,1,2,-2,393465,185122,166908,402629,16742,427438,87415,179300,146393,46568,34023,193996,1
929858,52,143547,0.59,7,-2,-2,4,5,4,89406,395030,155059,296588,403717,16029,14059,147955,168334,115801,182642,154541,1
429989,60,59845,0.75,3,-2,0,7,0,8,476853,278614,349947,172127,307150,361132,36221,21545,140246,122362,30629,114234,2
465515,20,37805,0.95,7,-1,7,8,7,6,272707,452636,271337,268569,40458,211194,165428,23015,66061,124042,105652,160292,2
93585,35,129288,0.66,3,4,-2,0,6,4,138698,25266,160153,189305,124744,401811,19815,18161,143492,12331,112170,11134,1
421369,68,129862,0.46,0,5,2,3,2,-1,341277,247448,174236,118213,45686,256566,60595,70877,68559,73499,132829,43453,1
114044,63,40632,0.44,6,8,1,0,8,6,356510,331255,235532,156851,101678,147988,71704,79368,1556,37578,86616,8213,1
492296,60,139628,0.71,4,4,-2,1,8,5,450356,374729,53897,442531,224104,301640,164580,56479,171289,194745,71417,155469,2
159556,41,140642,0.63,1,1,-2,4,2,8,87286,297356,294569,80438,296623,187527,41294,22866,58109,105217,97150,180197,1
576981,49,157732,0.42,6,-2,6,6,3,5,82240,401236,226310,379414,373691,129333,22419,153088,177887,14673,28364,78444,1
931691,51,41877,0.34,1,6,4,0,0,1,251900,497315,431276,250629,322602,34497,132751,20981,130350,29819,125240,191691,1
817595,19,125914,0.99,0,6,-1,1,0,2,53245,74258,303109,339877,474691,210590,32935,147824,189848,147861,123034,76347,2
250235,19,184996,0.77,-2,3,-2,-1,3,8,215908,414072,90410,13503,471997,207680,140336,143408,190998,45217,12343,137975,2
75939,27,193225,0.21,1,-2,4,8,1,-1,16661,217184,226489,455582,49967,353788,3222,160754,59366,45526,191594,185318,1
202906,40,63360,0.29,0,5,2,3,5,2,227317,298370,325129,246438,95002,183566,134097,165117,54497,160436,156555,158989,0
592335,32,194169,0.89,0,2,6,2,5,8,246350,397255,469538,303202,205750,456172,108220,85398,79951,119993,53870,165723,2
338249,29,39091,0.66,3,4,2,0,5,7,272183,243503,68342,333429,188971,481568,26791,29157,70520,53296,124583,146691,1
125766,60,177407,0.31,6,8,6,8,2,5,407037,317844,136323,475629,413905,252742,119908,155213,146136,132187,70279,153503,1
